Day,Month,Year,Hour,PT08.S1(CO),C6H6(GT),PT08.S5(O3),PT08.S2(NMHC),PT08.S4(NO2),AQI_Label
12,3,2004,10,1350.0,14.0,1237.0,1118.0,1712.0,3
12,3,2004,11,1263.0,11.6,1167.0,1037.0,1598.0,3
12,3,2004,12,1206.0,10.2,959.0,986.0,1537.0,2
12,3,2004,13,1252.0,11.0,983.0,1016.0,1593.0,3
12,3,2004,14,1287.0,12.8,1061.0,1078.0,1660.0,3
12,3,2004,15,1353.0,14.2,1139.0,1122.0,1740.0,3
12,3,2004,16,1309.0,12.7,1112.0,1073.0,1657.0,3
12,3,2004,17,1274.0,11.7,994.0,1041.0,1610.0,3
12,3,2004,18,1510.0,19.3,1410.0,1277.0,1910.0,4
12,3,2004,19,1525.0,18.2,1448.0,1246.0,1847.0,4
12,3,2004,20,1843.0,32.6,1887.0,1610.0,2390.0,4
12,3,2004,21,1598.0,20.1,1627.0,1299.0,1941.0,4
12,3,2004,22,1484.0,14.3,1491.0,1127.0,1723.0,4
12,3,2004,23,1677.0,21.8,1657.0,1346.0,2062.0,4
13,3,2004,0,1280.0,9.6,1285.0,964.0,1544.0,3
13,3,2004,1,1196.0,7.4,1144.0,873.0,1463.0,2
13,3,2004,2,1184.0,5.4,1043.0,782.0,1365.0,2
13,3,2004,3,1172.0,5.4,996.0,783.0,1380.0,2
13,3,2004,4,1147.0,6.2,992.0,821.0,1412.0,2
13,3,2004,5,978.0,2.6,819.0,625.0,1274.0,1
13,3,2004,6,1100.0,2.9,835.0,646.0,1268.0,2
13,3,2004,7,1112.0,5.1,940.0,770.0,1409.0,2
13,3,2004,8,1336.0,11.8,1192.0,1043.0,1678.0,3
13,3,2004,9,1408.0,15.1,1411.0,1153.0,1777.0,3
13,3,2004,10,1447.0,12.9,1465.0,1081.0,1667.0,4
13,3,2004,11,1542.0,16.1,1583.0,1184.0,1780.0,4
13,3,2004,12,1451.0,14.0,1387.0,1117.0,1679.0,4
13,3,2004,13,1328.0,12.3,1101.0,1059.0,1600.0,3
13,3,2004,14,1207.0,8.6,850.0,924.0,1488.0,2
13,3,2004,15,1240.0,9.2,947.0,947.0,1532.0,3
13,3,2004,16,1306.0,10.2,1078.0,987.0,1554.0,3
13,3,2004,17,1326.0,10.6,1084.0,1000.0,1602.0,3
13,3,2004,18,1473.0,15.5,1395.0,1163.0,1779.0,4
13,3,2004,19,1609.0,19.6,1612.0,1286.0,1922.0,4
13,3,2004,20,1611.0,19.2,1697.0,1274.0,1915.0,4
13,3,2004,21,1621.0,18.3,1886.0,1247.0,1860.0,4
13,3,2004,22,1444.0,13.1,1624.0,1089.0,1748.0,4
13,3,2004,23,1418.0,10.9,1536.0,1010.0,1603.0,4
14,3,2004,0,1534.0,11.0,1535.0,1013.0,1611.0,4
14,3,2004,1,1484.0,11.9,1530.0,1045.0,1624.0,4
14,3,2004,2,1367.0,8.6,1337.0,925.0,1543.0,3
14,3,2004,3,1344.0,9.7,1278.0,968.0,1620.0,3
14,3,2004,4,1130.0,5.2,1051.0,773.0,1452.0,2
14,3,2004,5,1062.0,3.7,929.0,691.0,1377.0,1
14,3,2004,6,1076.0,2.5,872.0,618.0,1333.0,1
14,3,2004,7,1028.0,2.4,853.0,615.0,1340.0,1
14,3,2004,8,1155.0,4.2,959.0,722.0,1414.0,2
14,3,2004,9,1235.0,6.4,1093.0,828.0,1527.0,3
14,3,2004,10,1332.0,8.6,1225.0,923.0,1614.0,3
14,3,2004,11,1445.0,10.9,1355.0,1009.0,1696.0,4
14,3,2004,12,1416.0,10.7,1262.0,1002.0,1677.0,4
14,3,2004,13,1281.0,7.5,980.0,880.0,1525.0,3
14,3,2004,14,1207.0,7.5,872.0,879.0,1490.0,2
14,3,2004,15,1258.0,8.2,900.0,906.0,1511.0,3
14,3,2004,16,1458.0,11.9,1099.0,1045.0,1646.0,4
14,3,2004,17,1438.0,12.0,1206.0,1051.0,1668.0,4
14,3,2004,18,1478.0,12.2,1262.0,1055.0,1671.0,4
14,3,2004,19,1808.0,20.6,1698.0,1312.0,1993.0,4
14,3,2004,20,1898.0,23.1,1905.0,1381.0,2103.0,4
14,3,2004,21,1560.0,14.7,1648.0,1140.0,1818.0,4
14,3,2004,22,1324.0,9.0,1423.0,940.0,1587.0,3
14,3,2004,23,1349.0,8.8,1349.0,933.0,1617.0,3
15,3,2004,0,1239.0,7.4,1250.0,872.0,1547.0,3
15,3,2004,1,1239.0,6.9,1174.0,853.0,1543.0,3
15,3,2004,2,1224.0,7.0,1149.0,855.0,1566.0,3
15,3,2004,3,1078.0,4.4,1021.0,734.0,1487.0,2
15,3,2004,4,1078.0,4.0,1013.0,711.0,1468.0,2
15,3,2004,5,1075.0,3.9,1010.0,703.0,1464.0,2
15,3,2004,6,1157.0,6.4,1083.0,830.0,1584.0,2
15,3,2004,7,1314.0,9.7,1235.0,966.0,1710.0,3
15,3,2004,8,1797.0,25.9,1680.0,1451.0,2323.0,4
15,3,2004,9,1961.0,36.7,2184.0,1701.0,2665.0,4
15,3,2004,10,1771.0,26.6,1973.0,1470.0,2262.0,4
15,3,2004,11,1564.0,20.1,1798.0,1300.0,2029.0,4
15,3,2004,12,1430.0,14.1,1522.0,1120.0,1783.0,4
15,3,2004,13,1417.0,14.9,1404.0,1146.0,1831.0,4
15,3,2004,14,1400.0,15.4,1263.0,1162.0,1829.0,3
15,3,2004,15,1317.0,12.1,1137.0,1053.0,1707.0,3
15,3,2004,16,1318.0,11.5,1068.0,1033.0,1675.0,3
15,3,2004,17,1445.0,14.8,1252.0,1141.0,1824.0,4
15,3,2004,18,1917.0,32.1,1843.0,1601.0,2447.0,4
15,3,2004,19,2040.0,39.2,2122.0,1754.0,2679.0,4
15,3,2004,20,1895.0,31.0,1992.0,1573.0,2443.0,4
15,3,2004,21,1595.0,19.9,1707.0,1294.0,2058.0,4
15,3,2004,22,1439.0,15.3,1494.0,1159.0,1856.0,4
15,3,2004,23,1142.0,6.9,1164.0,852.0,1547.0,2
16,3,2004,0,1304.0,11.1,1272.0,1019.0,1731.0,3
16,3,2004,1,1074.0,5.4,1040.0,784.0,1483.0,2
16,3,2004,2,968.0,2.8,867.0,640.0,1386.0,1
16,3,2004,3,929.0,2.3,826.0,608.0,1364.0,1
16,3,2004,4,941.0,2.6,840.0,626.0,1373.0,1
16,3,2004,5,937.0,2.0,793.0,585.0,1348.0,1
16,3,2004,6,1017.0,3.5,870.0,681.0,1418.0,1
16,3,2004,7,1171.0,5.1,930.0,770.0,1467.0,2
16,3,2004,8,1541.0,16.2,1407.0,1185.0,1889.0,4
16,3,2004,9,1539.0,19.7,1507.0,1287.0,2055.0,4
16,3,2004,10,1735.0,25.1,1843.0,1431.0,2211.0,4
16,3,2004,11,1571.0,20.0,1729.0,1297.0,1973.0,4
16,3,2004,12,1452.0,18.3,1583.0,1250.0,1868.0,4
16,3,2004,13,1579.0,22.3,1671.0,1359.0,1998.0,4
16,3,2004,14,1466.0,20.4,1491.0,1309.0,1897.0,4
16,3,2004,15,1280.0,14.6,1240.0,1136.0,1675.0,3
16,3,2004,16,1407.0,16.6,1313.0,1197.0,1759.0,3
16,3,2004,17,1389.0,15.8,1363.0,1173.0,1739.0,3
16,3,2004,18,1447.0,17.8,1296.0,1235.0,1778.0,4
16,3,2004,19,1551.0,19.1,1432.0,1271.0,1875.0,4
16,3,2004,20,1474.0,15.8,1432.0,1173.0,1776.0,4
16,3,2004,21,1800.0,24.9,2034.0,1426.0,2106.0,4
16,3,2004,22,1379.0,13.5,1602.0,1101.0,1710.0,4
16,3,2004,23,1201.0,9.1,1362.0,943.0,1560.0,3
17,3,2004,0,1205.0,8.6,1314.0,925.0,1547.0,3
17,3,2004,1,1072.0,5.4,1114.0,784.0,1442.0,2
17,3,2004,2,998.0,4.1,992.0,714.0,1383.0,2
17,3,2004,3,933.0,2.6,884.0,625.0,1332.0,1
17,3,2004,4,883.0,1.9,808.0,577.0,1303.0,1
17,3,2004,5,869.0,1.6,667.0,554.0,1268.0,1
17,3,2004,6,891.0,1.9,733.0,576.0,1289.0,1
17,3,2004,7,1173.0,7.5,1052.0,878.0,1556.0,2
17,3,2004,8,1587.0,21.4,1534.0,1334.0,1999.0,4
17,3,2004,9,1852.0,36.4,1931.0,1696.0,2535.0,4
17,3,2004,10,1522.0,21.3,1734.0,1331.0,2026.0,4
17,3,2004,11,1438.0,15.4,1595.0,1161.0,1782.0,4
17,3,2004,12,1393.0,12.5,1490.0,1067.0,1654.0,3
17,3,2004,13,1452.0,15.1,1508.0,1152.0,1747.0,4
17,3,2004,14,1389.0,13.7,1334.0,1108.0,1712.0,3
17,3,2004,15,1207.0,10.4,1045.0,994.0,1520.0,2
17,3,2004,16,1365.0,15.2,1221.0,1154.0,1679.0,3
17,3,2004,17,1247.0,12.3,1069.0,1060.0,1525.0,3
17,3,2004,18,1557.0,27.0,1569.0,1478.0,1981.0,4
17,3,2004,19,1973.0,38.4,2306.0,1737.0,2414.0,4
17,3,2004,20,1975.0,35.1,2359.0,1667.0,2416.0,4
17,3,2004,21,1795.0,27.2,2050.0,1485.0,2174.0,4
17,3,2004,22,1444.0,15.0,1727.0,1150.0,1727.0,4
17,3,2004,23,1488.0,15.7,1705.0,1171.0,1778.0,4
18,3,2004,0,1371.0,13.0,1551.0,1083.0,1669.0,3
18,3,2004,1,1161.0,8.1,1240.0,904.0,1502.0,2
18,3,2004,2,1064.0,5.5,1115.0,787.0,1407.0,2
18,3,2004,3,970.0,3.6,969.0,687.0,1351.0,1
18,3,2004,4,954.0,2.9,925.0,645.0,1334.0,1
18,3,2004,5,931.0,2.5,828.0,623.0,1307.0,1
18,3,2004,6,938.0,3.0,893.0,650.0,1333.0,1
18,3,2004,7,1166.0,7.7,1075.0,885.0,1551.0,2
18,3,2004,8,1643.0,23.3,1610.0,1384.0,2094.0,4
18,3,2004,9,1934.0,35.8,2051.0,1682.0,2468.0,4
18,3,2004,10,1617.0,21.3,1819.0,1333.0,2010.0,4
18,3,2004,11,1473.0,14.3,1568.0,1127.0,1752.0,4
18,3,2004,12,1379.0,12.5,1374.0,1068.0,1663.0,3
18,3,2004,13,1385.0,12.2,1268.0,1056.0,1648.0,3
18,3,2004,14,1379.0,13.1,1144.0,1087.0,1660.0,3
18,3,2004,15,1322.0,14.4,1109.0,1129.0,1639.0,3
18,3,2004,16,1496.0,16.8,1347.0,1205.0,1767.0,4
18,3,2004,17,1409.0,14.5,1206.0,1131.0,1689.0,4
18,3,2004,18,1513.0,21.5,1397.0,1338.0,1957.0,4
18,3,2004,19,1667.0,26.4,1588.0,1464.0,2118.0,4
18,3,2004,20,1667.0,26.0,1569.0,1453.0,2051.0,4
18,3,2004,21,1430.0,14.1,1322.0,1121.0,1732.0,4
18,3,2004,22,1333.0,10.3,1194.0,989.0,1621.0,3
18,3,2004,23,1262.0,8.3,1062.0,911.0,1545.0,3
19,3,2004,0,1287.0,8.9,1040.0,936.0,1606.0,3
19,3,2004,1,1134.0,6.6,917.0,840.0,1501.0,2
19,3,2004,2,999.0,3.6,594.0,688.0,1380.0,1
19,3,2004,3,961.0,2.5,430.0,622.0,1301.0,1
19,3,2004,4,934.0,1.8,397.0,569.0,1280.0,1
19,3,2004,5,913.0,1.3,370.0,525.0,1260.0,1
19,3,2004,6,969.0,2.3,438.0,607.0,1324.0,1
19,3,2004,7,1182.0,6.7,704.0,845.0,1539.0,2
19,3,2004,8,1740.0,22.8,1476.0,1372.0,2144.0,4
19,3,2004,9,1819.0,31.3,1716.0,1582.0,2456.0,4
19,3,2004,10,1427.0,19.2,1398.0,1275.0,1980.0,4
19,3,2004,11,1390.0,16.4,1268.0,1191.0,1879.0,3
19,3,2004,12,1283.0,14.0,1188.0,1117.0,1751.0,3
19,3,2004,13,1304.0,15.3,1171.0,1157.0,1801.0,3
19,3,2004,14,1364.0,16.7,1250.0,1202.0,1875.0,3
19,3,2004,15,1410.0,19.0,1344.0,1268.0,1957.0,4
19,3,2004,16,1476.0,19.4,1378.0,1280.0,1955.0,4
19,3,2004,17,1522.0,20.9,1435.0,1320.0,2005.0,4
19,3,2004,18,1442.0,20.2,1372.0,1301.0,1952.0,4
19,3,2004,19,1469.0,21.7,1471.0,1344.0,1997.0,4
19,3,2004,20,1467.0,19.8,1439.0,1292.0,1942.0,4
19,3,2004,21,1421.0,16.7,1429.0,1202.0,1854.0,4
19,3,2004,22,1175.0,9.1,1081.0,945.0,1604.0,2
19,3,2004,23,1215.0,8.3,993.0,912.0,1547.0,2
20,3,2004,0,1127.0,5.8,837.0,802.0,1447.0,2
20,3,2004,1,1090.0,5.2,761.0,773.0,1429.0,2
20,3,2004,2,1017.0,4.1,650.0,718.0,1382.0,1
20,3,2004,3,997.0,3.4,591.0,677.0,1359.0,1
20,3,2004,4,945.0,2.9,505.0,646.0,1332.0,1
20,3,2004,5,956.0,3.1,518.0,661.0,1351.0,1
20,3,2004,6,966.0,2.5,571.0,622.0,1342.0,1
20,3,2004,7,1064.0,4.3,842.0,728.0,1461.0,2
20,3,2004,8,1300.0,8.9,1145.0,935.0,1623.0,3
20,3,2004,9,1348.0,10.5,1218.0,998.0,1689.0,3
20,3,2004,10,1425.0,12.5,1341.0,1068.0,1764.0,4
20,3,2004,11,1474.0,12.3,1406.0,1061.0,1768.0,4
20,3,2004,12,1490.0,11.7,1422.0,1039.0,1757.0,4
20,3,2004,13,1495.0,11.7,1373.0,1040.0,1735.0,4
20,3,2004,14,1376.0,9.3,1153.0,953.0,1636.0,3
20,3,2004,15,1305.0,7.6,927.0,884.0,1573.0,3
20,3,2004,16,1283.0,6.7,766.0,844.0,1539.0,3
20,3,2004,17,1392.0,9.7,941.0,967.0,1649.0,3
20,3,2004,18,1452.0,12.4,1146.0,1063.0,1774.0,4
20,3,2004,19,1633.0,16.6,1417.0,1199.0,1919.0,4
20,3,2004,20,1625.0,16.4,1442.0,1191.0,1885.0,4
20,3,2004,21,1535.0,13.7,1323.0,1108.0,1820.0,4
20,3,2004,22,1323.0,9.9,1125.0,973.0,1712.0,3
20,3,2004,23,1309.0,8.9,1036.0,937.0,1672.0,3
21,3,2004,0,1456.0,10.6,1202.0,999.0,1714.0,4
21,3,2004,1,1300.0,7.4,1054.0,872.0,1577.0,3
21,3,2004,2,1203.0,6.2,903.0,823.0,1526.0,2
21,3,2004,3,1195.0,6.5,885.0,836.0,1554.0,2
21,3,2004,4,1117.0,5.8,818.0,802.0,1539.0,2
21,3,2004,5,1062.0,4.0,700.0,711.0,1461.0,2
21,3,2004,6,947.0,2.1,580.0,594.0,1390.0,1
21,3,2004,7,1065.0,3.6,815.0,687.0,1492.0,2
21,3,2004,8,1155.0,4.4,1035.0,734.0,1528.0,2
21,3,2004,9,1220.0,5.4,1067.0,782.0,1560.0,2
21,3,2004,10,1301.0,7.1,1114.0,862.0,1633.0,3
21,3,2004,11,1279.0,7.3,1000.0,870.0,1646.0,3
21,3,2004,12,1267.0,7.6,906.0,883.0,1617.0,3
21,3,2004,13,1239.0,6.8,822.0,848.0,1568.0,3
21,3,2004,14,1128.0,4.6,610.0,742.0,1507.0,2
21,3,2004,15,1243.0,8.4,657.0,916.0,1669.0,3
21,3,2004,16,1208.0,6.9,647.0,853.0,1506.0,2
21,3,2004,17,1306.0,9.0,762.0,938.0,1607.0,3
21,3,2004,18,1546.0,15.1,1122.0,1151.0,1874.0,4
21,3,2004,19,1501.0,12.6,1130.0,1071.0,1744.0,4
21,3,2004,20,1605.0,15.1,1637.0,1153.0,1840.0,4
21,3,2004,21,1316.0,9.9,1272.0,974.0,1673.0,3
21,3,2004,22,1195.0,8.0,1098.0,898.0,1594.0,2
21,3,2004,23,1211.0,7.9,1066.0,896.0,1624.0,2
22,3,2004,0,1161.0,6.1,909.0,815.0,1582.0,2
22,3,2004,1,1095.0,5.1,818.0,767.0,1547.0,2
22,3,2004,2,897.0,1.7,472.0,563.0,1355.0,1
22,3,2004,3,842.0,0.7,394.0,468.0,1274.0,1
22,3,2004,4,854.0,0.8,396.0,481.0,1304.0,1
22,3,2004,5,845.0,0.7,378.0,472.0,1278.0,1
22,3,2004,6,942.0,2.0,432.0,586.0,1373.0,1
22,3,2004,7,1090.0,5.1,699.0,768.0,1538.0,2
22,3,2004,8,1514.0,17.7,1252.0,1230.0,1996.0,4
22,3,2004,9,1379.0,18.4,1237.0,1252.0,1962.0,4
22,3,2004,10,1074.0,6.9,772.0,854.0,1484.0,2
22,3,2004,11,1090.0,7.3,766.0,868.0,1509.0,2
22,3,2004,12,1110.0,9.6,829.0,964.0,1577.0,2
22,3,2004,13,1102.0,10.4,783.0,994.0,1599.0,2
22,3,2004,14,1100.0,11.2,822.0,1021.0,1607.0,2
22,3,2004,15,1094.0,10.7,813.0,1003.0,1574.0,2
22,3,2004,16,1076.0,11.6,813.0,1034.0,1544.0,2
22,3,2004,17,1152.0,12.4,850.0,1062.0,1606.0,2
22,3,2004,18,1407.0,18.3,1276.0,1249.0,1932.0,4
22,3,2004,19,1438.0,21.0,1401.0,1325.0,1993.0,4
22,3,2004,20,1425.0,21.0,1356.0,1325.0,1965.0,4
22,3,2004,21,1279.0,14.5,1243.0,1131.0,1758.0,3
22,3,2004,22,1132.0,8.4,1083.0,916.0,1561.0,2
22,3,2004,23,1006.0,4.3,795.0,729.0,1370.0,1
23,3,2004,0,982.0,3.8,735.0,700.0,1359.0,1
23,3,2004,1,969.0,2.7,684.0,636.0,1309.0,1
23,3,2004,2,941.0,2.5,714.0,621.0,1330.0,1
23,3,2004,3,892.0,1.2,456.0,522.0,1285.0,1
23,3,2004,4,855.0,0.8,401.0,478.0,1261.0,1
23,3,2004,5,834.0,0.6,361.0,459.0,1212.0,0
23,3,2004,6,909.0,1.8,418.0,567.0,1287.0,1
23,3,2004,7,1061.0,4.6,616.0,745.0,1429.0,1
23,3,2004,8,1441.0,14.2,1089.0,1124.0,1829.0,4
23,3,2004,9,1498.0,21.0,1329.0,1325.0,2095.0,4
23,3,2004,10,1343.0,16.2,1311.0,1185.0,1857.0,3
23,3,2004,11,1308.0,15.5,1236.0,1166.0,1794.0,3
23,3,2004,12,1209.0,13.4,1147.0,1097.0,1746.0,3
23,3,2004,13,1310.0,16.9,1301.0,1207.0,1847.0,3
23,3,2004,14,1171.0,12.4,1097.0,1064.0,1639.0,2
23,3,2004,15,1112.0,10.1,900.0,980.0,1589.0,2
23,3,2004,16,1132.0,8.7,781.0,927.0,1570.0,2
23,3,2004,17,1225.0,13.8,1013.0,1111.0,1719.0,3
23,3,2004,18,1065.0,9.3,790.0,953.0,1514.0,2
23,3,2004,19,1236.0,13.0,1059.0,1084.0,1688.0,3
23,3,2004,20,1309.0,14.3,1205.0,1126.0,1722.0,3
23,3,2004,21,1089.0,7.6,975.0,884.0,1487.0,2
23,3,2004,22,1000.0,5.3,896.0,776.0,1375.0,1
23,3,2004,23,1041.0,5.4,911.0,782.0,1425.0,1
24,3,2004,0,1045.0,4.9,902.0,756.0,1411.0,1
24,3,2004,1,997.0,4.6,832.0,744.0,1405.0,1
24,3,2004,2,948.0,2.7,715.0,634.0,1326.0,1
24,3,2004,3,878.0,1.6,683.0,551.0,1272.0,1
24,3,2004,4,908.0,1.7,721.0,559.0,1287.0,1
24,3,2004,5,892.0,1.2,648.0,522.0,1255.0,1
24,3,2004,6,954.0,1.7,612.0,561.0,1255.0,1
24,3,2004,7,1045.0,4.8,800.0,751.0,1403.0,1
24,3,2004,8,1383.0,13.8,1173.0,1109.0,1706.0,3
24,3,2004,9,1597.0,23.7,1519.0,1395.0,2080.0,4
24,3,2004,10,1318.0,14.2,1287.0,1124.0,1770.0,3
24,3,2004,11,1138.0,8.0,966.0,898.0,1505.0,2
24,3,2004,12,1098.0,6.7,828.0,842.0,1440.0,2
24,3,2004,13,1118.0,8.7,825.0,927.0,1477.0,2
24,3,2004,14,1170.0,10.8,872.0,1009.0,1566.0,2
24,3,2004,15,1112.0,6.7,680.0,842.0,1494.0,2
24,3,2004,16,1390.0,11.4,1002.0,1028.0,1730.0,3
24,3,2004,17,1353.0,13.4,1159.0,1096.0,1783.0,3
24,3,2004,18,1260.0,12.0,979.0,1050.0,1722.0,3
24,3,2004,19,1501.0,20.2,1311.0,1302.0,2008.0,4
24,3,2004,20,1273.0,14.4,1071.0,1130.0,1744.0,3
24,3,2004,21,1179.0,9.4,899.0,955.0,1571.0,2
24,3,2004,22,1047.0,5.9,766.0,809.0,1435.0,1
24,3,2004,23,973.0,4.5,589.0,739.0,1354.0,1
25,3,2004,0,997.0,4.5,631.0,737.0,1341.0,1
25,3,2004,1,970.0,2.5,479.0,621.0,1249.0,1
25,3,2004,2,902.0,1.8,479.0,568.0,1253.0,1
25,3,2004,3,921.0,1.4,417.0,538.0,1224.0,0
25,3,2004,4,858.0,0.9,378.0,490.0,1212.0,0
25,3,2004,5,878.0,0.6,344.0,457.0,1158.0,0
25,3,2004,6,893.0,1.4,413.0,540.0,1268.0,1
25,3,2004,7,1038.0,3.8,605.0,697.0,1383.0,1
25,3,2004,8,1320.0,11.6,991.0,1035.0,1721.0,3
25,3,2004,9,1353.0,17.8,1175.0,1235.0,1937.0,4
25,3,2004,10,1133.0,8.8,923.0,933.0,1552.0,2
25,3,2004,11,1066.0,6.8,829.0,849.0,1468.0,2
25,3,2004,12,1027.0,5.9,733.0,809.0,1442.0,1
25,3,2004,13,1106.0,8.9,819.0,935.0,1570.0,2
25,3,2004,14,1038.0,8.2,723.0,907.0,1492.0,2
25,3,2004,15,1084.0,8.6,786.0,924.0,1501.0,2
25,3,2004,16,1105.0,10.1,850.0,982.0,1545.0,2
25,3,2004,17,1102.0,9.4,820.0,957.0,1527.0,2
25,3,2004,18,1240.0,14.6,991.0,1137.0,1748.0,3
25,3,2004,19,1443.0,24.6,1454.0,1418.0,2060.0,4
25,3,2004,20,1389.0,21.6,1488.0,1341.0,1982.0,4
25,3,2004,21,1183.0,10.3,1205.0,989.0,1539.0,2
25,3,2004,22,1014.0,5.7,909.0,798.0,1376.0,1
25,3,2004,23,979.0,4.5,769.0,736.0,1324.0,1
26,3,2004,0,1048.0,5.5,835.0,787.0,1373.0,1
26,3,2004,1,1024.0,4.8,793.0,753.0,1357.0,1
26,3,2004,2,974.0,3.6,733.0,690.0,1313.0,1
26,3,2004,3,862.0,1.7,502.0,561.0,1219.0,0
26,3,2004,4,925.0,2.2,562.0,602.0,1263.0,1
26,3,2004,5,952.0,3.0,832.0,654.0,1312.0,1
26,3,2004,6,1005.0,4.0,924.0,713.0,1363.0,1
26,3,2004,7,1122.0,6.7,974.0,842.0,1438.0,2
26,3,2004,8,1351.0,16.7,1307.0,1201.0,1828.0,3
26,3,2004,9,1408.0,19.3,1481.0,1278.0,1928.0,4
26,3,2004,10,1304.0,14.8,1405.0,1142.0,1747.0,3
26,3,2004,11,1207.0,13.4,1195.0,1098.0,1664.0,2
26,3,2004,12,1099.0,11.0,868.0,1014.0,1503.0,2
26,3,2004,13,1106.0,12.5,874.0,1068.0,1535.0,2
26,3,2004,14,1009.0,8.4,738.0,916.0,1391.0,1
26,3,2004,15,962.0,5.3,550.0,776.0,1279.0,1
26,3,2004,16,1093.0,8.8,777.0,933.0,1454.0,2
26,3,2004,17,1180.0,11.2,966.0,1023.0,1588.0,2
26,3,2004,18,1168.0,11.6,990.0,1037.0,1580.0,2
26,3,2004,19,1168.0,12.4,944.0,1063.0,1540.0,2
26,3,2004,20,1140.0,10.6,962.0,1000.0,1490.0,2
26,3,2004,21,1001.0,6.0,778.0,811.0,1308.0,1
26,3,2004,22,953.0,4.6,690.0,743.0,1252.0,1
26,3,2004,23,972.0,4.1,644.0,715.0,1258.0,1
27,3,2004,0,1021.0,5.2,753.0,776.0,1307.0,1
27,3,2004,1,940.0,3.2,646.0,664.0,1232.0,0
27,3,2004,2,1046.0,4.5,838.0,736.0,1312.0,1
27,3,2004,3,1026.0,3.8,851.0,699.0,1292.0,1
27,3,2004,4,983.0,3.8,801.0,698.0,1296.0,1
27,3,2004,5,915.0,1.9,665.0,578.0,1212.0,0
27,3,2004,6,935.0,2.4,717.0,615.0,1250.0,1
27,3,2004,7,976.0,3.3,795.0,669.0,1266.0,1
27,3,2004,8,1124.0,6.7,936.0,842.0,1418.0,2
27,3,2004,9,1163.0,8.5,1076.0,919.0,1530.0,2
27,3,2004,10,1167.0,9.7,1016.0,966.0,1520.0,2
27,3,2004,11,1121.0,9.4,834.0,955.0,1451.0,2
27,3,2004,12,1071.0,9.0,756.0,940.0,1449.0,1
27,3,2004,13,1065.0,10.0,766.0,979.0,1467.0,2
27,3,2004,14,1157.0,12.6,905.0,1072.0,1596.0,2
27,3,2004,15,1046.0,7.6,765.0,883.0,1357.0,1
27,3,2004,16,1147.0,11.8,830.0,1042.0,1538.0,2
27,3,2004,17,1119.0,11.2,853.0,1022.0,1508.0,2
27,3,2004,18,1210.0,12.4,981.0,1062.0,1586.0,2
27,3,2004,19,1306.0,12.9,1286.0,1079.0,1621.0,3
