id,NMHC(GT),C6H6(GT),NOx(GT),NO2(GT),AH,Year,Month,Day,DayOfWeek,Hour,result
135,218.0,16.2,263.0,97.0,0.8719,2004.0,3.0,16.0,1.0,8,2
136,285.0,19.7,229.0,95.0,0.8743,2004.0,3.0,16.0,1.0,9,2
137,437.0,25.1,396.0,150.0,0.8672,2004.0,3.0,16.0,1.0,10,3
138,327.0,20.0,314.0,162.0,0.8417,2004.0,3.0,16.0,1.0,11,2
139,283.0,18.3,217.0,154.0,0.8231,2004.0,3.0,16.0,1.0,12,2
140,366.0,22.3,252.0,161.0,0.8264,2004.0,3.0,16.0,1.0,13,2
141,318.0,20.4,263.0,161.0,0.7589,2004.0,3.0,16.0,1.0,14,2
142,228.0,14.6,180.0,128.0,0.7094,2004.0,3.0,16.0,1.0,15,2
143,201.0,16.6,184.0,129.0,0.7014,2004.0,3.0,16.0,1.0,16,2
144,199.0,15.8,190.0,133.0,0.7098,2004.0,3.0,16.0,1.0,17,2
145,237.0,17.8,184.0,139.0,0.7519,2004.0,3.0,16.0,1.0,18,2
146,261.0,19.1,181.0,137.0,0.873,2004.0,3.0,16.0,1.0,19,2
147,230.0,15.8,166.0,143.0,0.8704,2004.0,3.0,16.0,1.0,20,2
148,349.0,24.9,317.0,177.0,0.9007,2004.0,3.0,16.0,1.0,21,3
149,183.0,13.5,184.0,138.0,0.9342,2004.0,3.0,16.0,1.0,22,2
150,88.0,9.1,130.0,117.0,0.9226,2004.0,3.0,16.0,1.0,23,1
151,85.0,8.6,132.0,107.0,0.9271,2004.0,3.0,17.0,2.0,0,1
152,47.0,5.4,95.0,90.0,0.9059,2004.0,3.0,17.0,2.0,1,1
153,34.0,4.1,70.0,79.0,0.891,2004.0,3.0,17.0,2.0,2,0
154,26.0,2.6,0.0,0.0,0.8666,2004.0,3.0,17.0,2.0,3,0
156,11.0,1.6,28.0,40.0,0.8026,2004.0,3.0,17.0,2.0,5,0
157,18.0,1.9,46.0,53.0,0.7978,2004.0,3.0,17.0,2.0,6,0
158,84.0,7.5,160.0,84.0,0.7956,2004.0,3.0,17.0,2.0,7,1
159,260.0,21.4,320.0,108.0,0.7958,2004.0,3.0,17.0,2.0,8,2
160,534.0,36.4,377.0,127.0,0.802,2004.0,3.0,17.0,2.0,9,3
161,368.0,21.3,280.0,134.0,0.8048,2004.0,3.0,17.0,2.0,10,2
162,200.0,15.4,221.0,135.0,0.8265,2004.0,3.0,17.0,2.0,11,2
163,145.0,12.5,210.0,142.0,0.8471,2004.0,3.0,17.0,2.0,12,2
164,188.0,15.1,204.0,153.0,0.8254,2004.0,3.0,17.0,2.0,13,2
165,152.0,13.7,161.0,123.0,0.8503,2004.0,3.0,17.0,2.0,14,2
166,103.0,10.4,135.0,104.0,0.65,2004.0,3.0,17.0,2.0,15,1
167,193.0,15.2,186.0,129.0,0.6309,2004.0,3.0,17.0,2.0,16,2
168,134.0,12.3,147.0,114.0,0.5708,2004.0,3.0,17.0,2.0,17,2
169,386.0,27.0,299.0,158.0,0.5237,2004.0,3.0,17.0,2.0,18,2
170,577.0,38.4,411.0,194.0,0.7403,2004.0,3.0,17.0,2.0,19,3
171,523.0,35.1,347.0,182.0,0.9133,2004.0,3.0,17.0,2.0,20,3
172,472.0,27.2,336.0,180.0,0.9294,2004.0,3.0,17.0,2.0,21,3
173,206.0,15.0,202.0,136.0,0.8558,2004.0,3.0,17.0,2.0,22,2
174,216.0,15.7,178.0,127.0,0.9206,2004.0,3.0,17.0,2.0,23,2
175,159.0,13.0,154.0,116.0,0.9024,2004.0,3.0,18.0,3.0,0,2
176,70.0,8.1,92.0,107.0,0.8975,2004.0,3.0,18.0,3.0,1,1
177,44.0,5.5,61.0,88.0,0.8686,2004.0,3.0,18.0,3.0,2,0
178,42.0,3.6,0.0,0.0,0.8501,2004.0,3.0,18.0,3.0,3,0
180,20.0,2.5,37.0,57.0,0.8233,2004.0,3.0,18.0,3.0,5,0
181,26.0,3.0,68.0,71.0,0.8113,2004.0,3.0,18.0,3.0,6,0
182,78.0,7.7,139.0,85.0,0.8067,2004.0,3.0,18.0,3.0,7,1
183,319.0,23.3,339.0,124.0,0.8117,2004.0,3.0,18.0,3.0,8,2
184,506.0,35.8,421.0,151.0,0.8186,2004.0,3.0,18.0,3.0,9,3
185,0.0,21.3,349.0,150.0,0.821,2004.0,3.0,18.0,3.0,10,2
186,0.0,14.3,224.0,152.0,0.8365,2004.0,3.0,18.0,3.0,11,2
187,0.0,12.5,171.0,139.0,0.8219,2004.0,3.0,18.0,3.0,12,2
188,0.0,12.2,149.0,133.0,0.8515,2004.0,3.0,18.0,3.0,13,2
189,0.0,13.1,137.0,126.0,0.7829,2004.0,3.0,18.0,3.0,14,2
190,0.0,14.4,149.0,128.0,0.6275,2004.0,3.0,18.0,3.0,15,2
191,0.0,16.8,172.0,169.0,0.818,2004.0,3.0,18.0,3.0,16,2
192,0.0,14.5,166.0,149.0,0.7832,2004.0,3.0,18.0,3.0,17,2
193,0.0,21.5,214.0,156.0,0.7446,2004.0,3.0,18.0,3.0,18,2
194,0.0,26.4,280.0,168.0,0.7523,2004.0,3.0,18.0,3.0,19,3
195,0.0,26.0,276.0,176.0,0.7676,2004.0,3.0,18.0,3.0,20,3
196,0.0,14.1,178.0,135.0,0.8768,2004.0,3.0,18.0,3.0,21,2
197,0.0,10.3,129.0,121.0,0.9456,2004.0,3.0,18.0,3.0,22,2
198,0.0,8.3,95.0,99.0,0.9606,2004.0,3.0,18.0,3.0,23,1
199,0.0,8.9,126.0,106.0,0.9735,2004.0,3.0,19.0,4.0,0,1
200,0.0,6.6,103.0,96.0,0.9915,2004.0,3.0,19.0,4.0,1,1
201,0.0,3.6,48.0,63.0,1.0029,2004.0,3.0,19.0,4.0,2,0
202,0.0,2.5,0.0,0.0,0.9768,2004.0,3.0,19.0,4.0,3,0
204,0.0,1.3,18.0,28.0,0.962,2004.0,3.0,19.0,4.0,5,0
205,0.0,2.3,56.0,61.0,0.9487,2004.0,3.0,19.0,4.0,6,0
206,0.0,6.7,115.0,99.0,0.9332,2004.0,3.0,19.0,4.0,7,1
207,0.0,22.8,320.0,157.0,0.9209,2004.0,3.0,19.0,4.0,8,2
208,0.0,31.3,357.0,166.0,0.912,2004.0,3.0,19.0,4.0,9,3
209,0.0,19.2,253.0,149.0,0.9032,2004.0,3.0,19.0,4.0,10,2
210,0.0,16.4,218.0,135.0,0.8917,2004.0,3.0,19.0,4.0,11,2
211,0.0,14.0,192.0,127.0,0.8744,2004.0,3.0,19.0,4.0,12,2
212,0.0,15.3,176.0,122.0,0.8655,2004.0,3.0,19.0,4.0,13,2
213,0.0,16.7,198.0,135.0,0.864,2004.0,3.0,19.0,4.0,14,2
214,0.0,19.0,212.0,139.0,0.8791,2004.0,3.0,19.0,4.0,15,2
215,0.0,19.4,249.0,147.0,0.9094,2004.0,3.0,19.0,4.0,16,2
216,0.0,20.9,270.0,158.0,0.9142,2004.0,3.0,19.0,4.0,17,2
217,0.0,20.2,231.0,146.0,0.8989,2004.0,3.0,19.0,4.0,18,2
218,0.0,21.7,251.0,144.0,0.884,2004.0,3.0,19.0,4.0,19,2
219,0.0,19.8,210.0,138.0,0.8956,2004.0,3.0,19.0,4.0,20,2
220,0.0,16.7,249.0,143.0,0.9117,2004.0,3.0,19.0,4.0,21,2
221,0.0,9.1,143.0,116.0,0.9573,2004.0,3.0,19.0,4.0,22,2
222,0.0,8.3,127.0,109.0,0.938,2004.0,3.0,19.0,4.0,23,2
223,0.0,5.8,104.0,92.0,0.9085,2004.0,3.0,20.0,5.0,0,1
224,0.0,5.2,86.0,83.0,0.8842,2004.0,3.0,20.0,5.0,1,1
225,0.0,4.1,74.0,81.0,0.8765,2004.0,3.0,20.0,5.0,2,1
226,0.0,3.4,0.0,0.0,0.8666,2004.0,3.0,20.0,5.0,3,1
228,0.0,3.1,42.0,53.0,0.856,2004.0,3.0,20.0,5.0,5,0
229,0.0,2.5,63.0,67.0,0.9129,2004.0,3.0,20.0,5.0,6,0
230,0.0,4.3,115.0,91.0,0.896,2004.0,3.0,20.0,5.0,7,1
231,0.0,8.9,170.0,113.0,0.9083,2004.0,3.0,20.0,5.0,8,2
232,0.0,10.5,147.0,102.0,0.8765,2004.0,3.0,20.0,5.0,9,2
233,0.0,12.5,166.0,107.0,0.8881,2004.0,3.0,20.0,5.0,10,2
234,0.0,12.3,195.0,113.0,0.9046,2004.0,3.0,20.0,5.0,11,2
235,0.0,11.7,182.0,108.0,0.9158,2004.0,3.0,20.0,5.0,12,2
236,0.0,11.7,168.0,105.0,0.9281,2004.0,3.0,20.0,5.0,13,2
237,0.0,9.3,125.0,93.0,0.937,2004.0,3.0,20.0,5.0,14,2
238,0.0,7.6,95.0,87.0,0.9476,2004.0,3.0,20.0,5.0,15,1
239,0.0,6.7,79.0,76.0,0.9493,2004.0,3.0,20.0,5.0,16,1
240,0.0,9.7,119.0,94.0,0.9556,2004.0,3.0,20.0,5.0,17,2
241,0.0,12.4,142.0,110.0,0.9744,2004.0,3.0,20.0,5.0,18,2
242,0.0,16.6,215.0,136.0,1.0159,2004.0,3.0,20.0,5.0,19,2
243,0.0,16.4,229.0,139.0,0.9914,2004.0,3.0,20.0,5.0,20,2
244,0.0,13.7,206.0,125.0,0.9964,2004.0,3.0,20.0,5.0,21,2
245,0.0,9.9,147.0,111.0,1.0132,2004.0,3.0,20.0,5.0,22,2
246,0.0,8.9,122.0,97.0,1.0356,2004.0,3.0,20.0,5.0,23,2
247,0.0,10.6,175.0,107.0,1.0396,2004.0,3.0,21.0,6.0,0,2
248,0.0,7.4,133.0,90.0,1.0398,2004.0,3.0,21.0,6.0,1,2
249,0.0,6.2,89.0,84.0,0.9951,2004.0,3.0,21.0,6.0,2,1
250,0.0,6.5,0.0,0.0,0.9941,2004.0,3.0,21.0,6.0,3,1
252,0.0,4.0,55.0,66.0,1.0196,2004.0,3.0,21.0,6.0,5,1
253,0.0,2.1,24.0,36.0,1.0316,2004.0,3.0,21.0,6.0,6,0
254,0.0,3.6,72.0,62.0,1.063,2004.0,3.0,21.0,6.0,7,0
255,0.0,4.4,122.0,91.0,1.0704,2004.0,3.0,21.0,6.0,8,1
256,0.0,5.4,111.0,89.0,1.073,2004.0,3.0,21.0,6.0,9,1
257,0.0,7.1,123.0,93.0,1.0868,2004.0,3.0,21.0,6.0,10,1
258,0.0,7.3,106.0,81.0,1.07,2004.0,3.0,21.0,6.0,11,1
259,0.0,7.6,103.0,82.0,1.0249,2004.0,3.0,21.0,6.0,12,1
260,0.0,6.8,102.0,80.0,1.0091,2004.0,3.0,21.0,6.0,13,1
261,0.0,4.6,48.0,48.0,1.0126,2004.0,3.0,21.0,6.0,14,1
262,0.0,8.4,63.0,61.0,0.9791,2004.0,3.0,21.0,6.0,15,1
263,0.0,6.9,98.0,89.0,0.8942,2004.0,3.0,21.0,6.0,16,1
264,0.0,9.0,132.0,105.0,0.9206,2004.0,3.0,21.0,6.0,17,2
265,0.0,15.1,173.0,116.0,0.9252,2004.0,3.0,21.0,6.0,18,2
266,0.0,12.6,185.0,119.0,0.9689,2004.0,3.0,21.0,6.0,19,2
267,0.0,15.1,266.0,144.0,0.952,2004.0,3.0,21.0,6.0,20,2
268,0.0,9.9,188.0,123.0,0.9688,2004.0,3.0,21.0,6.0,21,2
269,0.0,8.0,122.0,105.0,0.9914,2004.0,3.0,21.0,6.0,22,1
270,0.0,7.9,112.0,93.0,1.0198,2004.0,3.0,21.0,6.0,23,1
271,0.0,6.1,93.0,86.0,1.0919,2004.0,3.0,22.0,0.0,0,1
272,0.0,5.1,74.0,76.0,1.0805,2004.0,3.0,22.0,0.0,1,1
273,0.0,1.7,23.0,33.0,1.0491,2004.0,3.0,22.0,0.0,2,0
274,0.0,0.7,0.0,0.0,1.0309,2004.0,3.0,22.0,0.0,3,0
276,0.0,0.7,15.0,23.0,1.0049,2004.0,3.0,22.0,0.0,5,0
277,0.0,2.0,41.0,46.0,0.9979,2004.0,3.0,22.0,0.0,6,0
278,0.0,5.1,86.0,76.0,1.0195,2004.0,3.0,22.0,0.0,7,1
279,0.0,17.7,226.0,116.0,0.9571,2004.0,3.0,22.0,0.0,8,2
280,0.0,18.4,214.0,115.0,0.8281,2004.0,3.0,22.0,0.0,9,2
281,0.0,6.9,115.0,83.0,0.7793,2004.0,3.0,22.0,0.0,10,1
282,0.0,7.3,124.0,87.0,0.7764,2004.0,3.0,22.0,0.0,11,1
283,0.0,9.6,122.0,90.0,0.7263,2004.0,3.0,22.0,0.0,12,1
284,0.0,10.4,107.0,87.0,0.7067,2004.0,3.0,22.0,0.0,13,1
285,0.0,11.2,133.0,99.0,0.6539,2004.0,3.0,22.0,0.0,14,2
286,0.0,10.7,130.0,99.0,0.6681,2004.0,3.0,22.0,0.0,15,2
287,451.0,11.6,150.0,101.0,0.606,2004.0,3.0,22.0,0.0,16,2
288,185.0,12.4,138.0,103.0,0.6682,2004.0,3.0,22.0,0.0,17,2
289,426.0,18.3,213.0,129.0,0.8264,2004.0,3.0,22.0,0.0,18,2
290,672.0,21.0,232.0,143.0,0.8347,2004.0,3.0,22.0,0.0,19,2
291,624.0,21.0,238.0,146.0,0.8178,2004.0,3.0,22.0,0.0,20,2
292,325.0,14.5,180.0,124.0,0.8177,2004.0,3.0,22.0,0.0,21,2
293,143.0,8.4,128.0,113.0,0.8231,2004.0,3.0,22.0,0.0,22,1
294,89.0,4.3,65.0,80.0,0.8106,2004.0,3.0,22.0,0.0,23,1
295,73.0,3.8,53.0,72.0,0.8071,2004.0,3.0,23.0,1.0,0,0
296,48.0,2.7,47.0,64.0,0.8163,2004.0,3.0,23.0,1.0,1,0
297,47.0,2.5,51.0,70.0,0.8444,2004.0,3.0,23.0,1.0,2,0
298,36.0,1.2,0.0,0.0,0.9215,2004.0,3.0,23.0,1.0,3,0
300,19.0,0.6,13.0,22.0,0.9147,2004.0,3.0,23.0,1.0,5,0
301,26.0,1.8,33.0,47.0,0.9004,2004.0,3.0,23.0,1.0,6,0
302,60.0,4.6,103.0,88.0,0.9093,2004.0,3.0,23.0,1.0,7,1
303,248.0,14.2,224.0,130.0,0.9117,2004.0,3.0,23.0,1.0,8,2
304,535.0,21.0,244.0,132.0,0.9232,2004.0,3.0,23.0,1.0,9,2
305,340.0,16.2,237.0,132.0,0.8803,2004.0,3.0,23.0,1.0,10,2
306,325.0,15.5,220.0,131.0,0.821,2004.0,3.0,23.0,1.0,11,2
307,267.0,13.4,207.0,129.0,0.8234,2004.0,3.0,23.0,1.0,12,2
308,325.0,16.9,208.0,132.0,0.8351,2004.0,3.0,23.0,1.0,13,2
309,268.0,12.4,160.0,110.0,0.7674,2004.0,3.0,23.0,1.0,14,2
310,136.0,10.1,131.0,99.0,0.7971,2004.0,3.0,23.0,1.0,15,1
311,118.0,8.7,128.0,100.0,0.8537,2004.0,3.0,23.0,1.0,16,1
312,276.0,13.8,176.0,122.0,0.8465,2004.0,3.0,23.0,1.0,17,2
313,151.0,9.3,107.0,97.0,0.7695,2004.0,3.0,23.0,1.0,18,1
314,236.0,13.0,131.0,112.0,0.7822,2004.0,3.0,23.0,1.0,19,2
315,220.0,14.3,166.0,128.0,0.7867,2004.0,3.0,23.0,1.0,20,2
316,87.0,7.6,89.0,101.0,0.7881,2004.0,3.0,23.0,1.0,21,1
317,81.0,5.3,81.0,96.0,0.7664,2004.0,3.0,23.0,1.0,22,1
318,74.0,5.4,78.0,86.0,0.8057,2004.0,3.0,23.0,1.0,23,1
319,55.0,4.9,70.0,85.0,0.8199,2004.0,3.0,24.0,2.0,0,1
320,74.0,4.6,76.0,79.0,0.8082,2004.0,3.0,24.0,2.0,1,1
321,35.0,2.7,43.0,61.0,0.8025,2004.0,3.0,24.0,2.0,2,0
322,29.0,1.6,0.0,0.0,0.7856,2004.0,3.0,24.0,2.0,3,0
324,20.0,1.2,34.0,54.0,0.7628,2004.0,3.0,24.0,2.0,5,0
325,32.0,1.7,43.0,57.0,0.7382,2004.0,3.0,24.0,2.0,6,0
326,84.0,4.8,79.0,75.0,0.7455,2004.0,3.0,24.0,2.0,7,1
327,245.0,13.8,174.0,97.0,0.7501,2004.0,3.0,24.0,2.0,8,2
328,553.0,23.7,235.0,110.0,0.7565,2004.0,3.0,24.0,2.0,9,2
329,450.0,14.2,218.0,113.0,0.7734,2004.0,3.0,24.0,2.0,10,2
330,118.0,8.0,136.0,88.0,0.7535,2004.0,3.0,24.0,2.0,11,1
331,118.0,6.7,117.0,85.0,0.7146,2004.0,3.0,24.0,2.0,12,1
